Waypoint Number,AtWaypoint Time,LeavingWaypoint Time
0,2026-01-18T16:06:12.5255050Z,2026-01-18T16:06:32.5273220Z
1,2026-01-18T16:06:42.4571870Z,2026-01-18T16:07:02.4577040Z
2,2026-01-18T16:07:11.8016560Z,2026-01-18T16:07:31.8070790Z
3,2026-01-18T16:07:41.0014530Z,2026-01-18T16:08:01.0022490Z
4,2026-01-18T16:08:11.9324290Z,2026-01-18T16:08:31.9478630Z
5,2026-01-18T16:08:43.6602580Z,2026-01-18T16:09:03.6753200Z
6,2026-01-18T16:09:14.1327020Z,2026-01-18T16:09:34.1451430Z
7,2026-01-18T16:09:45.9078930Z,2026-01-18T16:10:05.9227540Z
8,2026-01-18T16:10:17.7354510Z,2026-01-18T16:10:37.7376700Z
9,2026-01-18T16:10:46.7142470Z,2026-01-18T16:11:06.7157470Z
