WPC0,WPC1,WPC2,WPC3,WPC4,WPC5,WPC6,WPC7,WPC8,WPC9
"(np.float64(13.560240407462686), np.float64(-0.8019113760597013), np.float64(10.65127903880597))","(np.float64(15.440330878787877), np.float64(-0.7787794791969698), np.float64(12.290946086363636))","(np.float64(17.310878492537316), np.float64(-0.7501858547910449), np.float64(13.959437707462687))","(np.float64(19.218705284848483), np.float64(-0.7298907442727273), np.float64(15.638439116666666))","(np.float64(21.105793160606062), np.float64(-0.7091032839848485), np.float64(17.271256233333336))","(np.float64(22.98903029701492), np.float64(-0.6797455298955223), np.float64(18.92009731492537))","(np.float64(24.89206987910448), np.float64(-0.6637188838208955), np.float64(20.574049731343283))","(np.float64(26.77737599552239), np.float64(-0.6442259899402986), np.float64(22.1828355641791))","(np.float64(28.61998210597015), np.float64(-0.6283068576716418), np.float64(23.844577741791046))","(np.float64(30.464081080597015), np.float64(-0.6025700922985076), np.float64(25.463195926865673))"
"(np.float64(13.560544723880595), np.float64(-0.7936198092537313), np.float64(10.646631750746268))","(np.float64(15.44428818030303), np.float64(-0.7793599405909091), np.float64(12.301304415151515))","(np.float64(17.30977982238806), np.float64(-0.7502459080597015), np.float64(13.959376440298511))","(np.float64(19.215280398484847), np.float64(-0.7286847283181818), np.float64(15.63709216060606))","(np.float64(21.108419022388066), np.float64(-0.7091936240149255), np.float64(17.28410296865671))","(np.float64(22.987917429850746), np.float64(-0.6808691001940298), np.float64(18.9263865761194))","(np.float64(24.892558596969696), np.float64(-0.6635744774090909), np.float64(20.574519443939394))","(np.float64(26.763547149253732), np.float64(-0.6430436350149252), np.float64(22.17399120746269))","(np.float64(28.620912525757575), np.float64(-0.6275062928484849), np.float64(23.849539386363638))","(np.float64(30.48703254179104), np.float64(-0.595823039761194), np.float64(25.47544695522388))"
"(np.float64(13.564617073134329), np.float64(-0.8014434546268657), np.float64(10.648571443283581))","(np.float64(15.444987976119405), np.float64(-0.7795236889850746), np.float64(12.30529357164179))","(np.float64(17.321943670149253), np.float64(-0.7513749678656715), np.float64(13.962804020895524))","(np.float64(19.225899140909092), np.float64(-0.7287507298333332), np.float64(15.637093204545453))","(np.float64(21.121602453030306), np.float64(-0.708407311530303), np.float64(17.285804895454543))","(np.float64(23.002661663636363), np.float64(-0.6815922551666667), np.float64(18.93499543333333))","(np.float64(24.901261434848486), np.float64(-0.6649751659242424), np.float64(20.575075995454547))","(np.float64(26.774372712121206), np.float64(-0.6453091424999999), np.float64(22.179267340909092))","(np.float64(28.621504082089547), np.float64(-0.629105309641791), np.float64(23.847510479104482))","(np.float64(30.494773714925376), np.float64(-0.5906959266119403), np.float64(25.47809908955224))"
"(np.float64(13.565746628787878), np.float64(-0.8002053557727272), np.float64(10.64862209090909))","(np.float64(15.438419634328358), np.float64(-0.7789971214626864), np.float64(12.301383025373132))","(np.float64(17.30612882424242), np.float64(-0.7523881191818181), np.float64(13.9707247))","(np.float64(19.210516062686565), np.float64(-0.7284079774925373), np.float64(15.64180118358209))","(np.float64(21.105988202985074), np.float64(-0.7094377729552239), np.float64(17.28432847761194))","(np.float64(23.000261234328356), np.float64(-0.6822322489104478), np.float64(18.94215762686567))","(np.float64(24.899165795454547), np.float64(-0.6650212756818181), np.float64(20.585693112121216))","(np.float64(26.763657783582087), np.float64(-0.646776546313433), np.float64(22.17910273432836))","(np.float64(28.612658571641788), np.float64(-0.6279312837313432), np.float64(23.85621232835821))","(np.float64(30.487260495522392), np.float64(-0.5916751403432835), np.float64(25.48689371641791))"
