X,Y,Z,Timestamp
13.5526934,-0.803010941,10.6528864,2026-01-18T15:28:53.6693260Z
13.552928,-0.8033413,10.6529789,2026-01-18T15:28:53.9677130Z
13.5524759,-0.8032789,10.6528292,2026-01-18T15:28:54.2691230Z
13.5527391,-0.8033132,10.6532288,2026-01-18T15:28:54.5689360Z
13.5530863,-0.8033813,10.6533709,2026-01-18T15:28:54.8700750Z
13.5525217,-0.803297341,10.6531734,2026-01-18T15:28:55.1695770Z
13.5528088,-0.8032577,10.6530571,2026-01-18T15:28:55.4712110Z
13.5532255,-0.803214967,10.6531725,2026-01-18T15:28:55.7717180Z
13.55311,-0.802978337,10.6532965,2026-01-18T15:28:56.0719890Z
13.5526247,-0.802910566,10.65344,2026-01-18T15:28:56.3730300Z
13.55322,-0.803175,10.6535673,2026-01-18T15:28:56.6726880Z
13.5540533,-0.803554058,10.6539812,2026-01-18T15:28:56.9726730Z
13.5532589,-0.8038102,10.65394,2026-01-18T15:28:57.2731020Z
13.5525608,-0.8037126,10.6537085,2026-01-18T15:28:57.5737720Z
13.5525007,-0.803769231,10.653594,2026-01-18T15:28:57.8744740Z
13.5531988,-0.803614855,10.6542654,2026-01-18T15:28:58.1752820Z
13.5536766,-0.803552747,10.6546516,2026-01-18T15:28:58.4788220Z
13.5538006,-0.803334951,10.6548481,2026-01-18T15:28:58.7767550Z
13.5537748,-0.803340435,10.6549463,2026-01-18T15:28:59.0772600Z
13.5538788,-0.8030349,10.6548338,2026-01-18T15:28:59.3780420Z
13.55346,-0.8028791,10.654377,2026-01-18T15:28:59.6808500Z
13.5536,-0.802687764,10.6544895,2026-01-18T15:28:59.9826060Z
13.5537853,-0.8026448,10.6546383,2026-01-18T15:29:00.2805560Z
13.5538244,-0.802712142,10.6546087,2026-01-18T15:29:00.5819530Z
13.5537786,-0.802686453,10.65444,2026-01-18T15:29:00.8819300Z
13.553834,-0.802685738,10.6543016,2026-01-18T15:29:01.1821000Z
13.5540342,-0.802922368,10.6549788,2026-01-18T15:29:01.4835380Z
13.5541553,-0.8030181,10.655385,2026-01-18T15:29:01.7679100Z
13.5541658,-0.8030119,10.6553545,2026-01-18T15:29:02.0691810Z
13.5540743,-0.80307436,10.6552715,2026-01-18T15:29:02.3695410Z
13.5540886,-0.803080261,10.6552668,2026-01-18T15:29:02.6707700Z
13.5540438,-0.8030817,10.6554327,2026-01-18T15:29:02.9700580Z
13.555974,-0.8030573,10.6546106,2026-01-18T15:29:03.2704280Z
13.5595751,-0.802916169,10.6531963,2026-01-18T15:29:03.5716380Z
13.560998,-0.802817,10.6526518,2026-01-18T15:29:03.8738400Z
13.5617323,-0.802778959,10.6523352,2026-01-18T15:29:04.1760550Z
13.5618849,-0.802797258,10.652339,2026-01-18T15:29:04.4748800Z
13.5621929,-0.802750945,10.652277,2026-01-18T15:29:04.7751170Z
13.5622025,-0.8028366,10.6523046,2026-01-18T15:29:05.0746700Z
13.5653982,-0.8016738,10.6508465,2026-01-18T15:29:05.3752790Z
13.5682278,-0.8006207,10.6498823,2026-01-18T15:29:05.6760510Z
13.5695734,-0.8001563,10.64941,2026-01-18T15:29:05.9782660Z
13.5700293,-0.79991734,10.6492462,2026-01-18T15:29:06.2777490Z
13.570261,-0.799893,10.6492138,2026-01-18T15:29:06.5794280Z
13.5703392,-0.7998626,10.6492376,2026-01-18T15:29:06.8800660Z
13.5703373,-0.799950659,10.6492262,2026-01-18T15:29:07.1793890Z
13.5720663,-0.7997692,10.6481543,2026-01-18T15:29:07.4806820Z
13.5728855,-0.7997222,10.6476469,2026-01-18T15:29:07.7810210Z
13.5732908,-0.7996126,10.6474609,2026-01-18T15:29:08.0827560Z
13.5735207,-0.7995952,10.6473713,2026-01-18T15:29:08.3824960Z
13.5734711,-0.799593449,10.6473455,2026-01-18T15:29:08.6836150Z
13.5735321,-0.7995677,10.6473942,2026-01-18T15:29:08.9842770Z
13.5737419,-0.7994706,10.64752,2026-01-18T15:29:09.2668090Z
13.5749578,-0.799166262,10.647645,2026-01-18T15:29:09.5682030Z
13.5755215,-0.7990725,10.6476889,2026-01-18T15:29:09.8684390Z
13.5756836,-0.799049556,10.6476574,2026-01-18T15:29:10.1690640Z
13.5758181,-0.799024642,10.6477251,2026-01-18T15:29:10.4698060Z
13.5758324,-0.7989997,10.6476736,2026-01-18T15:29:10.7717300Z
13.5758848,-0.798931837,10.6476593,2026-01-18T15:29:11.0712600Z
13.5765839,-0.798882961,10.6476583,2026-01-18T15:29:11.3714680Z
13.5771561,-0.7989098,10.6476107,2026-01-18T15:29:11.6732480Z
13.5774536,-0.7988802,10.6475878,2026-01-18T15:29:11.9739740Z
13.5774336,-0.798909,10.6476183,2026-01-18T15:29:12.2744730Z
13.5775032,-0.798997641,10.6477,2026-01-18T15:29:12.5734760Z
13.577486,-0.7988593,10.647706,2026-01-18T15:29:12.8752820Z
13.577589,-0.798829138,10.6477652,2026-01-18T15:29:13.1741590Z
13.5776205,-0.7988024,10.6475391,2026-01-18T15:29:13.4751840Z
13.577651,-0.7988285,10.6474838,2026-01-18T15:29:13.7769880Z
13.5776148,-0.798779547,10.647481,2026-01-18T15:29:14.0775240Z
13.5776463,-0.7987497,10.6475124,2026-01-18T15:29:14.3776320Z
13.5775852,-0.7987749,10.647398,2026-01-18T15:29:14.6773460Z
13.5776043,-0.798824549,10.64747,2026-01-18T15:29:14.9790180Z
13.5776606,-0.7987936,10.647439,2026-01-18T15:29:15.2779680Z
13.5777082,-0.7987344,10.6472721,2026-01-18T15:29:15.5800620Z
13.5776691,-0.798640847,10.6470938,2026-01-18T15:29:15.8802370Z
13.577631,-0.798591137,10.6470232,2026-01-18T15:29:16.1808800Z
13.5775366,-0.798656046,10.647131,2026-01-18T15:29:16.4815040Z
13.5775747,-0.798630834,10.6470833,2026-01-18T15:29:16.7815380Z
13.5775671,-0.798615754,10.6470795,2026-01-18T15:29:17.0826070Z
13.5777941,-0.798725367,10.647728,2026-01-18T15:29:17.3821540Z
13.5780859,-0.7987649,10.6481352,2026-01-18T15:29:17.6840370Z
13.5781488,-0.7988396,10.6483669,2026-01-18T15:29:17.9678770Z
13.57812,-0.798914135,10.6483889,2026-01-18T15:29:18.2683090Z
13.5781507,-0.7988599,10.6483927,2026-01-18T15:29:18.5690940Z
13.5780563,-0.7989176,10.6483946,2026-01-18T15:29:18.8695210Z
13.5780525,-0.799013555,10.6482992,2026-01-18T15:29:19.1695970Z
13.5781069,-0.799080968,10.6483727,2026-01-18T15:29:19.4697800Z
13.57818,-0.799131155,10.6484652,2026-01-18T15:29:19.7727090Z
13.5787992,-0.7993171,10.6488457,2026-01-18T15:29:20.0716420Z
13.5781813,-0.7991868,10.6487408,2026-01-18T15:29:20.3731840Z
13.5781574,-0.799330533,10.6486826,2026-01-18T15:29:20.6735380Z
13.5778561,-0.7992993,10.6486349,2026-01-18T15:29:20.9743700Z
13.5796976,-0.798863053,10.6485128,2026-01-18T15:29:21.2728230Z
13.65447,-0.7442564,10.6724033,2026-01-18T15:29:21.5741460Z
13.8078,-0.7253861,10.746273,2026-01-18T15:29:21.8753830Z
