X,Y,Z,Timestamp
13.5604992,-0.800263464,10.6508884,2026-01-18T16:36:01.7596280Z
13.5603285,-0.800336659,10.6510668,2026-01-18T16:36:02.0608470Z
13.5601788,-0.8003926,10.65109,2026-01-18T16:36:02.3604740Z
13.5601549,-0.800707042,10.6513042,2026-01-18T16:36:02.6618420Z
13.56031,-0.8007505,10.6512613,2026-01-18T16:36:02.9621170Z
13.5599661,-0.8007008,10.65109,2026-01-18T16:36:03.2457210Z
13.5600338,-0.8006698,10.6511307,2026-01-18T16:36:03.5496520Z
13.5597076,-0.8008334,10.6512146,2026-01-18T16:36:03.8461610Z
13.5596666,-0.80080837,10.65129,2026-01-18T16:36:04.1463920Z
13.5614557,-0.800958335,10.6489706,2026-01-18T16:36:04.4465840Z
13.5623674,-0.800935268,10.6475306,2026-01-18T16:36:04.7470570Z
13.562561,-0.8010198,10.6467915,2026-01-18T16:36:05.0474820Z
13.562809,-0.801007569,10.6465454,2026-01-18T16:36:05.3482390Z
13.5629606,-0.8010409,10.6464911,2026-01-18T16:36:05.6499560Z
13.5629053,-0.8010554,10.64652,2026-01-18T16:36:05.9492860Z
13.5629158,-0.80106,10.646513,2026-01-18T16:36:06.2496110Z
13.5629864,-0.800769746,10.6465969,2026-01-18T16:36:06.5503080Z
13.5632973,-0.8006904,10.6466694,2026-01-18T16:36:06.8516380Z
13.5633364,-0.8006358,10.6465616,2026-01-18T16:36:07.1521340Z
13.5631647,-0.8006666,10.6465693,2026-01-18T16:36:07.4525750Z
13.5631685,-0.8007017,10.6466112,2026-01-18T16:36:07.7526080Z
13.5632572,-0.8006777,10.6465645,2026-01-18T16:36:08.0526790Z
13.5622959,-0.8008358,10.6471224,2026-01-18T16:36:08.3528050Z
13.5605354,-0.801216841,10.64818,2026-01-18T16:36:08.6535350Z
13.5597706,-0.8013679,10.6486168,2026-01-18T16:36:08.9556940Z
13.5596352,-0.8013994,10.6487217,2026-01-18T16:36:09.2556270Z
13.5595207,-0.8014272,10.6487675,2026-01-18T16:36:09.5561370Z
13.5594835,-0.8014755,10.6487913,2026-01-18T16:36:09.8568020Z
13.5594358,-0.8015706,10.6489182,2026-01-18T16:36:10.1558010Z
13.5619688,-0.80152905,10.6493464,2026-01-18T16:36:10.4566290Z
13.5636044,-0.801495552,10.64963,2026-01-18T16:36:10.7571910Z
13.5642452,-0.8015176,10.6496935,2026-01-18T16:36:11.0582400Z
13.5646906,-0.801662266,10.6497145,2026-01-18T16:36:11.3582060Z
13.5646715,-0.801526368,10.649724,2026-01-18T16:36:11.6592850Z
13.5647621,-0.801463246,10.6497631,2026-01-18T16:36:11.9595390Z
13.5650158,-0.8014482,10.6496267,2026-01-18T16:36:12.2585950Z
13.5662918,-0.8014211,10.6484585,2026-01-18T16:36:12.5600930Z
13.5666246,-0.8014086,10.6480522,2026-01-18T16:36:12.8597570Z
13.5668659,-0.801317155,10.6479254,2026-01-18T16:36:13.1617780Z
13.5670443,-0.801278353,10.6478262,2026-01-18T16:36:13.4607560Z
13.5671358,-0.801301837,10.6478167,2026-01-18T16:36:13.7620820Z
13.5671453,-0.8012425,10.6477842,2026-01-18T16:36:14.0457960Z
13.5669918,-0.8011574,10.6475277,2026-01-18T16:36:14.3452940Z
13.5667191,-0.8010112,10.6469049,2026-01-18T16:36:14.6467490Z
13.5665894,-0.800988853,10.6466341,2026-01-18T16:36:14.9467170Z
13.5666142,-0.8009592,10.6465235,2026-01-18T16:36:15.2479410Z
13.5667095,-0.800988138,10.6464911,2026-01-18T16:36:15.5477360Z
13.5666847,-0.801035047,10.6465,2026-01-18T16:36:15.8488210Z
13.566699,-0.801013768,10.6464386,2026-01-18T16:36:16.1483810Z
13.5669317,-0.8004926,10.6468077,2026-01-18T16:36:16.4491670Z
13.5672493,-0.8001913,10.64712,2026-01-18T16:36:16.7504990Z
13.5672846,-0.800051332,10.647315,2026-01-18T16:36:17.0514350Z
13.5673475,-0.8000135,10.6473322,2026-01-18T16:36:17.3512470Z
13.5673637,-0.8000927,10.6473932,2026-01-18T16:36:17.6509460Z
13.5672684,-0.800125,10.6473637,2026-01-18T16:36:17.9523410Z
13.5671883,-0.8000945,10.6473017,2026-01-18T16:36:18.2518080Z
13.56727,-0.800183833,10.64674,2026-01-18T16:36:18.5527890Z
13.56731,-0.800200641,10.646615,2026-01-18T16:36:18.8537520Z
13.5673828,-0.8002141,10.6465673,2026-01-18T16:36:19.1546690Z
13.56727,-0.800267339,10.6466208,2026-01-18T16:36:19.4550610Z
13.56728,-0.8002862,10.64657,2026-01-18T16:36:19.7546190Z
13.5673447,-0.8002842,10.6465464,2026-01-18T16:36:20.0559720Z
