X,Y,Z,Timestamp
13.5553379,-0.8065957,10.6534758,2026-01-18T15:05:38.4008460Z
13.5553579,-0.806499958,10.65356,2026-01-18T15:05:38.7002560Z
13.5557356,-0.805832446,10.6536121,2026-01-18T15:05:39.0016060Z
13.5558681,-0.805586159,10.6536837,2026-01-18T15:05:39.3033900Z
13.5559053,-0.805568933,10.6533394,2026-01-18T15:05:39.6041520Z
13.5561323,-0.805566,10.6533318,2026-01-18T15:05:39.9049890Z
13.5563488,-0.805521965,10.6534824,2026-01-18T15:05:40.2045370Z
13.5562458,-0.805496752,10.6535606,2026-01-18T15:05:40.5052020Z
13.55595,-0.8054376,10.6536064,2026-01-18T15:05:40.8060780Z
13.5557261,-0.805433452,10.653635,2026-01-18T15:05:41.1071090Z
13.5560122,-0.8054175,10.6539221,2026-01-18T15:05:41.4084170Z
13.55625,-0.805375636,10.6540642,2026-01-18T15:05:41.7098780Z
13.5563879,-0.8053629,10.6541376,2026-01-18T15:05:42.0109700Z
13.5563755,-0.805352449,10.6542053,2026-01-18T15:05:42.3112030Z
13.5562534,-0.8053968,10.6543064,2026-01-18T15:05:42.6117850Z
13.55576,-0.8050774,10.6532383,2026-01-18T15:05:42.8956370Z
13.5553846,-0.804855764,10.6524849,2026-01-18T15:05:43.1977800Z
13.5552111,-0.804745734,10.652091,2026-01-18T15:05:43.4984140Z
13.5551281,-0.80467695,10.6518946,2026-01-18T15:05:43.7993990Z
13.5551195,-0.804756165,10.6519232,2026-01-18T15:05:44.1004450Z
13.555006,-0.80474776,10.6519537,2026-01-18T15:05:44.4011600Z
13.5549746,-0.80478704,10.6519308,2026-01-18T15:05:44.7004990Z
13.5525837,-0.8026218,10.6499987,2026-01-18T15:05:45.0149270Z
13.551672,-0.8015825,10.64923,2026-01-18T15:05:45.3033940Z
13.551095,-0.8012276,10.6488285,2026-01-18T15:05:45.6035720Z
13.5510836,-0.801147163,10.6486139,2026-01-18T15:05:45.9048330Z
13.5510588,-0.8010641,10.6484776,2026-01-18T15:05:46.2055270Z
13.5509148,-0.801141441,10.64842,2026-01-18T15:05:46.5056200Z
13.5487051,-0.8009026,10.6462879,2026-01-18T15:05:46.8062540Z
13.5434971,-0.800505,10.6415577,2026-01-18T15:05:47.1071370Z
13.5416374,-0.8004353,10.6398849,2026-01-18T15:05:47.4086460Z
13.5407763,-0.8003684,10.6391344,2026-01-18T15:05:47.7086880Z
13.5405293,-0.8003478,10.63881,2026-01-18T15:05:48.0101140Z
13.5405312,-0.8004161,10.6388378,2026-01-18T15:05:48.3110180Z
13.5405025,-0.800413966,10.6387157,2026-01-18T15:05:48.6107960Z
13.5402355,-0.8002745,10.6382589,2026-01-18T15:05:48.9112220Z
13.5398693,-0.80021,10.6377249,2026-01-18T15:05:49.1952830Z
13.5398254,-0.800250649,10.6375771,2026-01-18T15:05:49.4970080Z
13.5397339,-0.8002425,10.6375856,2026-01-18T15:05:49.7969380Z
13.5397882,-0.800294,10.6376858,2026-01-18T15:05:50.0983090Z
13.5398045,-0.800308049,10.63777,2026-01-18T15:05:50.3982660Z
13.5398035,-0.8003457,10.6377048,2026-01-18T15:05:50.6984570Z
13.5397921,-0.799981,10.6376095,2026-01-18T15:05:50.9994410Z
13.5396824,-0.7998202,10.6376534,2026-01-18T15:05:51.3013120Z
13.5397091,-0.7997904,10.637578,2026-01-18T15:05:51.6018060Z
13.5397015,-0.7997777,10.6374226,2026-01-18T15:05:51.9013550Z
13.5397186,-0.7997011,10.6374292,2026-01-18T15:05:52.2032050Z
13.5397406,-0.7997425,10.6374741,2026-01-18T15:05:52.5031510Z
13.5397282,-0.7997834,10.6371489,2026-01-18T15:05:52.8033090Z
13.5391569,-0.7996772,10.6364384,2026-01-18T15:05:53.1045810Z
13.5388346,-0.799595654,10.6362238,2026-01-18T15:05:53.4063540Z
13.5390053,-0.7995626,10.6359091,2026-01-18T15:05:53.7070680Z
13.53904,-0.799622357,10.635808,2026-01-18T15:05:54.0069600Z
13.5390863,-0.799595952,10.6357946,2026-01-18T15:05:54.3088450Z
13.5391455,-0.799625337,10.6357718,2026-01-18T15:05:54.6085620Z
13.5395632,-0.7994733,10.6363268,2026-01-18T15:05:54.9086600Z
13.5399666,-0.799287736,10.6368647,2026-01-18T15:05:55.2104330Z
13.5399256,-0.7992967,10.63714,2026-01-18T15:05:55.5111590Z
13.540204,-0.799181163,10.63718,2026-01-18T15:05:55.8118990Z
13.5402222,-0.7992633,10.6372633,2026-01-18T15:05:56.1124120Z
13.5402851,-0.7992186,10.6371489,2026-01-18T15:05:56.4130130Z
13.5403013,-0.7992196,10.6372194,2026-01-18T15:05:56.6959120Z
