X,Y,Z,Timestamp
13.5495625,-0.802673936,10.65308,2026-01-18T16:12:09.6717250Z
13.5495319,-0.8025504,10.6530924,2026-01-18T16:12:09.9566560Z
13.5494213,-0.802492142,10.65305,2026-01-18T16:12:10.2567840Z
13.5498648,-0.8024933,10.6531849,2026-01-18T16:12:10.5581090Z
13.5495634,-0.80198,10.6528215,2026-01-18T16:12:10.8578580Z
13.549861,-0.8015133,10.6521425,2026-01-18T16:12:11.1592370Z
13.5495,-0.8012693,10.6515894,2026-01-18T16:12:11.4601700Z
13.5495777,-0.801361442,10.6518373,2026-01-18T16:12:11.7602680Z
13.5497923,-0.8013847,10.6520987,2026-01-18T16:12:12.0613540Z
13.54897,-0.8013698,10.6516409,2026-01-18T16:12:12.3607370Z
13.5496655,-0.80154413,10.6518793,2026-01-18T16:12:12.6611980Z
13.5498667,-0.801626146,10.6518965,2026-01-18T16:12:12.9618670Z
13.5496531,-0.801589966,10.6516972,2026-01-18T16:12:13.2626150Z
13.5495148,-0.8012601,10.6512384,2026-01-18T16:12:13.5648640Z
13.5494728,-0.801181555,10.6509571,2026-01-18T16:12:13.8644450Z
13.5496264,-0.8010893,10.6509638,2026-01-18T16:12:14.1646140Z
13.54988,-0.801042,10.6510754,2026-01-18T16:12:14.4657430Z
13.5495749,-0.801053345,10.6509247,2026-01-18T16:12:14.7659520Z
13.5495234,-0.800988436,10.6508989,2026-01-18T16:12:15.0670210Z
13.549552,-0.801056,10.650856,2026-01-18T16:12:15.3684800Z
13.5494032,-0.801260233,10.6508036,2026-01-18T16:12:15.6691070Z
13.549551,-0.8011602,10.6506786,2026-01-18T16:12:15.9698120Z
13.54919,-0.80112654,10.65063,2026-01-18T16:12:16.2706720Z
13.5492411,-0.801067233,10.6508274,2026-01-18T16:12:16.5704900Z
13.5468464,-0.7885343,10.6549311,2026-01-18T16:12:16.8709770Z
13.5429859,-0.769208,10.6609116,2026-01-18T16:12:17.1721280Z
13.5415487,-0.7618105,10.663372,2026-01-18T16:12:17.4572720Z
13.5407419,-0.758459866,10.66439,2026-01-18T16:12:17.7572770Z
13.540556,-0.757130146,10.6647158,2026-01-18T16:12:18.0578360Z
13.5404406,-0.7566351,10.6649418,2026-01-18T16:12:18.3577790Z
13.5403872,-0.7565108,10.6650343,2026-01-18T16:12:18.6584860Z
13.5496244,-0.7758692,10.6596813,2026-01-18T16:12:18.9592250Z
13.5572,-0.7903485,10.6558867,2026-01-18T16:12:19.2599010Z
13.5603085,-0.796136558,10.6544571,2026-01-18T16:12:19.5612930Z
13.5615129,-0.7985502,10.6538849,2026-01-18T16:12:19.8613870Z
