Waypoint Number,AtWaypoint Time,LeavingWaypoint Time
0,2026-01-18T15:59:59.2312430Z,2026-01-18T16:00:19.2293670Z
1,2026-01-18T16:00:36.4778280Z,2026-01-18T16:00:56.4773160Z
2,2026-01-18T16:01:15.2962500Z,2026-01-18T16:01:35.3055120Z
3,2026-01-18T16:01:46.1505900Z,2026-01-18T16:02:06.1519140Z
4,2026-01-18T16:02:19.4549460Z,2026-01-18T16:02:39.4685610Z
5,2026-01-18T16:02:58.2837280Z,2026-01-18T16:03:18.2874560Z
6,2026-01-18T16:03:28.7657890Z,2026-01-18T16:03:48.7680870Z
7,2026-01-18T16:03:58.0257640Z,2026-01-18T16:04:18.0388300Z
8,2026-01-18T16:04:28.3675000Z,2026-01-18T16:04:48.3672310Z
9,2026-01-18T16:04:59.4485500Z,2026-01-18T16:05:19.4511920Z
