Waypoint Number,AtWaypoint Time,LeavingWaypoint Time
0,2026-01-18T15:21:42.4989250Z,2026-01-18T15:22:03.0119340Z
1,2026-01-18T15:22:13.6599800Z,2026-01-18T15:22:34.0803690Z
2,2026-01-18T15:22:43.0472610Z,2026-01-18T15:23:03.3370970Z
3,2026-01-18T15:23:17.8300240Z,2026-01-18T15:23:38.4818260Z
4,2026-01-18T15:23:52.4589440Z,2026-01-18T15:24:12.4965550Z
5,2026-01-18T15:24:36.0777300Z,2026-01-18T15:24:56.4055360Z
6,2026-01-18T15:25:07.6784810Z,2026-01-18T15:25:28.1235720Z
7,2026-01-18T15:25:38.5648490Z,2026-01-18T15:25:58.8450250Z
8,2026-01-18T15:26:43.3735340Z,2026-01-18T15:27:02.2339380Z
9,2026-01-18T15:27:12.9055990Z,2026-01-18T15:27:33.2674840Z
