X,Y,Z,Timestamp
13.5493212,-0.8029287,10.6501808,2026-01-18T15:21:34.7885290Z
13.5487137,-0.8031547,10.6508217,2026-01-18T15:21:35.0894680Z
13.5485535,-0.803346038,10.651022,2026-01-18T15:21:35.3895290Z
13.5481749,-0.803194642,10.6508636,2026-01-18T15:21:35.6893430Z
13.5488634,-0.8032403,10.6514082,2026-01-18T15:21:35.9993300Z
13.5503426,-0.802541852,10.6489563,2026-01-18T15:21:36.2895150Z
13.5517654,-0.8009568,10.6463671,2026-01-18T15:21:36.5909570Z
13.5522461,-0.8003056,10.645319,2026-01-18T15:21:36.8913080Z
13.5526514,-0.800095,10.6449413,2026-01-18T15:21:37.1756310Z
13.5532646,-0.800175965,10.6447086,2026-01-18T15:21:37.4754660Z
13.5532656,-0.8001441,10.6446991,2026-01-18T15:21:37.7757140Z
13.5530615,-0.800046265,10.64487,2026-01-18T15:21:38.0752450Z
13.5536747,-0.799570262,10.6448841,2026-01-18T15:21:38.3826620Z
13.5541391,-0.799265444,10.6445379,2026-01-18T15:21:38.6760970Z
13.5540276,-0.7992007,10.6445446,2026-01-18T15:21:38.9765860Z
13.5538378,-0.799128532,10.6445866,2026-01-18T15:21:39.2770070Z
13.5537891,-0.799088,10.644558,2026-01-18T15:21:39.5776920Z
13.5537882,-0.799106836,10.6445236,2026-01-18T15:21:39.8782160Z
13.5537834,-0.7990819,10.6445723,2026-01-18T15:21:40.1781980Z
13.55359,-0.7989943,10.644166,2026-01-18T15:21:40.4791120Z
13.5534925,-0.799042165,10.6439266,2026-01-18T15:21:40.7805010Z
13.5532274,-0.799109161,10.6439018,2026-01-18T15:21:41.0800430Z
13.5532656,-0.7990913,10.6437979,2026-01-18T15:21:41.3811920Z
13.5533848,-0.7991468,10.6437225,2026-01-18T15:21:41.6813530Z
13.553421,-0.7991825,10.6437883,2026-01-18T15:21:41.9818220Z
13.5536222,-0.79943186,10.64405,2026-01-18T15:21:42.2811200Z
13.5541067,-0.799774766,10.6441507,2026-01-18T15:21:42.5818410Z
13.5543785,-0.799921,10.6440868,2026-01-18T15:21:42.8831100Z
13.5544672,-0.799872,10.6441288,2026-01-18T15:21:43.1826540Z
13.5544014,-0.7999331,10.6441851,2026-01-18T15:21:43.4838810Z
13.5544548,-0.7999371,10.6442671,2026-01-18T15:21:43.7842840Z
13.5544825,-0.799910843,10.6443348,2026-01-18T15:21:44.0837300Z
13.55967,-0.797120035,10.6412239,2026-01-18T15:21:44.3842890Z
13.5633049,-0.795250058,10.6391344,2026-01-18T15:21:44.6847350Z
13.5647354,-0.7945385,10.6383686,2026-01-18T15:21:44.9858860Z
13.5653238,-0.794247866,10.6380959,2026-01-18T15:21:45.2853050Z
13.5655651,-0.794086337,10.6379967,2026-01-18T15:21:45.5867260Z
13.5657,-0.794068933,10.6379385,2026-01-18T15:21:45.8870570Z
13.5657482,-0.7941357,10.63794,2026-01-18T15:21:46.1863070Z
13.5618343,-0.798115,10.6446228,2026-01-18T15:21:46.4874130Z
13.560442,-0.7996191,10.6471815,2026-01-18T15:21:46.7886730Z
13.55985,-0.800290167,10.6482182,2026-01-18T15:21:47.0889440Z
13.5596333,-0.8005702,10.6485643,2026-01-18T15:21:47.3884640Z
13.5595388,-0.8006715,10.6487637,2026-01-18T15:21:47.6894830Z
13.5593824,-0.800675452,10.6488342,2026-01-18T15:21:47.9894230Z
13.5601912,-0.8006811,10.6497612,2026-01-18T15:21:48.2893930Z
13.5617189,-0.8006414,10.6514473,2026-01-18T15:21:48.5906630Z
13.5623293,-0.8006261,10.65225,2026-01-18T15:21:48.8914220Z
13.562542,-0.800548851,10.6525593,2026-01-18T15:21:49.1752250Z
13.5625725,-0.8005882,10.652688,2026-01-18T15:21:49.4745490Z
13.5626211,-0.800637543,10.6527252,2026-01-18T15:21:49.7760650Z
13.5626507,-0.800659835,10.652751,2026-01-18T15:21:50.0751990Z
13.5629883,-0.8005916,10.6527719,2026-01-18T15:21:50.3756700Z
13.563324,-0.800498664,10.6528568,2026-01-18T15:21:50.6779060Z
13.5634718,-0.800534248,10.6528654,2026-01-18T15:21:50.9775940Z
13.5635023,-0.8005574,10.6529665,2026-01-18T15:21:51.2783840Z
13.5634832,-0.800584733,10.6530094,2026-01-18T15:21:51.5781430Z
13.5635262,-0.800630331,10.6529741,2026-01-18T15:21:51.8792610Z
13.56355,-0.8006308,10.6529217,2026-01-18T15:21:52.1781960Z
13.5633507,-0.8003919,10.6531677,2026-01-18T15:21:52.4793530Z
13.5631018,-0.8002904,10.6533384,2026-01-18T15:21:52.7797750Z
13.56314,-0.800260961,10.6531782,2026-01-18T15:21:53.0809400Z
13.5630894,-0.8002584,10.65316,2026-01-18T15:21:53.3810440Z
13.563056,-0.8003058,10.6531792,2026-01-18T15:21:53.6814470Z
13.5630531,-0.80030936,10.6531944,2026-01-18T15:21:53.9820690Z
13.56319,-0.8004303,10.653677,2026-01-18T15:21:54.2807620Z
13.5636272,-0.8005621,10.6542177,2026-01-18T15:21:54.5825010Z
13.5638885,-0.800706267,10.65449,2026-01-18T15:21:54.8827310Z
13.5638485,-0.800754964,10.6546459,2026-01-18T15:21:55.1832460Z
13.5638742,-0.8007006,10.65465,2026-01-18T15:21:55.4837230Z
13.5638027,-0.800672531,10.65463,2026-01-18T15:21:55.7842460Z
13.5637465,-0.800678134,10.654624,2026-01-18T15:21:56.0839110Z
13.5633049,-0.800491631,10.6544132,2026-01-18T15:21:56.3838650Z
13.56386,-0.8006196,10.6541786,2026-01-18T15:21:56.6853720Z
13.5643158,-0.800509632,10.6544342,2026-01-18T15:21:56.9854270Z
13.5640879,-0.8003391,10.6544819,2026-01-18T15:21:57.2863590Z
13.5642586,-0.8003742,10.6550093,2026-01-18T15:21:57.5866840Z
13.5643625,-0.8004679,10.654274,2026-01-18T15:21:57.8872480Z
13.5646267,-0.8003312,10.6544914,2026-01-18T15:21:58.1863670Z
13.5640125,-0.8002809,10.6541491,2026-01-18T15:21:58.4875060Z
13.5641193,-0.8002895,10.6538591,2026-01-18T15:21:58.7884480Z
13.5643253,-0.8003884,10.6538534,2026-01-18T15:21:59.0880280Z
13.5640764,-0.8005424,10.65413,2026-01-18T15:21:59.3892090Z
13.5639858,-0.8002745,10.6543589,2026-01-18T15:21:59.6894070Z
13.5640507,-0.8003255,10.6540871,2026-01-18T15:21:59.9915400Z
13.56407,-0.800202,10.65427,2026-01-18T15:22:00.2893360Z
13.5638561,-0.800265133,10.6544094,2026-01-18T15:22:00.5907170Z
13.5638428,-0.8001866,10.6544218,2026-01-18T15:22:00.8912680Z
13.5638475,-0.800322533,10.65441,2026-01-18T15:22:01.1909420Z
13.5639315,-0.8002441,10.6544247,2026-01-18T15:22:01.4920210Z
