X,Y,Z,Timestamp
13.5626087,-0.802409768,10.6629848,2026-01-18T14:42:17.7889780Z
13.5633574,-0.8012238,10.6632519,2026-01-18T14:42:18.0894910Z
13.56359,-0.80078125,10.6632767,2026-01-18T14:42:18.3898460Z
13.5636845,-0.800692,10.6633749,2026-01-18T14:42:18.6939600Z
13.5636482,-0.800745368,10.6635618,2026-01-18T14:42:18.9744760Z
13.56347,-0.8006517,10.6631908,2026-01-18T14:42:19.2752720Z
13.5645866,-0.800090969,10.6639853,2026-01-18T14:42:19.5745540Z
13.5659695,-0.799667,10.664732,2026-01-18T14:42:19.8768220Z
13.56658,-0.799482763,10.6652288,2026-01-18T14:42:20.1771230Z
13.5668774,-0.79942733,10.6652355,2026-01-18T14:42:20.4776460Z
13.5669193,-0.799328744,10.6652431,2026-01-18T14:42:20.7787270Z
13.5668812,-0.7993375,10.6651993,2026-01-18T14:42:21.0791000Z
13.56686,-0.7993667,10.66522,2026-01-18T14:42:21.3786900Z
13.5676813,-0.799948037,10.6644239,2026-01-18T14:42:21.6798140Z
13.5680332,-0.800300956,10.6639776,2026-01-18T14:42:21.9811890Z
13.5681734,-0.800446749,10.66377,2026-01-18T14:42:22.2815670Z
13.5682669,-0.8004431,10.6637011,2026-01-18T14:42:22.5826750Z
13.56894,-0.800803542,10.6639423,2026-01-18T14:42:22.8831420Z
13.5680523,-0.800663948,10.6634464,2026-01-18T14:42:23.1835700Z
13.5678654,-0.800660133,10.6633968,2026-01-18T14:42:23.4832930Z
13.5679045,-0.800850034,10.6627951,2026-01-18T14:42:23.7843630Z
13.5678921,-0.800640345,10.6628008,2026-01-18T14:42:24.0854040Z
13.5677805,-0.8006851,10.66276,2026-01-18T14:42:24.3853670Z
13.5678234,-0.800767,10.6627092,2026-01-18T14:42:24.6866280Z
13.5679045,-0.800761342,10.66278,2026-01-18T14:42:24.9872350Z
13.5680285,-0.800784647,10.662384,2026-01-18T14:42:25.2880450Z
13.56814,-0.8007018,10.6626358,2026-01-18T14:42:25.5876410Z
13.5679321,-0.8004422,10.6626949,2026-01-18T14:42:25.8890350Z
13.5677614,-0.800428152,10.66277,2026-01-18T14:42:26.1898260Z
13.5675383,-0.8004978,10.6628418,2026-01-18T14:42:26.4894680Z
