Waypoint Number,AtWaypoint Time,LeavingWaypoint Time
0,2026-01-18T16:12:15.9229550Z,2026-01-18T16:12:35.9304750Z
1,2026-01-18T16:12:43.2830880Z,2026-01-18T16:13:03.2823470Z
2,2026-01-18T16:13:11.3347050Z,2026-01-18T16:13:31.3448760Z
3,2026-01-18T16:13:42.7365490Z,2026-01-18T16:14:02.7488000Z
4,2026-01-18T16:14:12.9729490Z,2026-01-18T16:14:32.9818340Z
5,2026-01-18T16:14:42.4873570Z,2026-01-18T16:15:02.4946040Z
6,2026-01-18T16:15:12.4204330Z,2026-01-18T16:15:32.4312860Z
7,2026-01-18T16:15:45.8642580Z,2026-01-18T16:16:05.8744670Z
8,2026-01-18T16:16:14.7797580Z,2026-01-18T16:16:34.7908980Z
9,2026-01-18T16:16:42.7782460Z,2026-01-18T16:17:02.7900260Z
