Waypoint Number,AtWaypoint Time,LeavingWaypoint Time
0,2026-01-18T15:05:46.8900640Z,2026-01-18T15:06:07.4392550Z
1,2026-01-18T15:06:20.3425780Z,2026-01-18T15:06:40.7938740Z
2,2026-01-18T15:06:51.7371150Z,2026-01-18T15:07:12.3553250Z
3,2026-01-18T15:07:26.1754940Z,2026-01-18T15:07:46.7164660Z
4,2026-01-18T15:08:03.4902910Z,2026-01-18T15:08:25.6638210Z
5,2026-01-18T15:08:41.6223430Z,2026-01-18T15:09:02.2623790Z
6,2026-01-18T15:09:12.1880760Z,2026-01-18T15:09:32.6411190Z
7,2026-01-18T15:09:43.0012080Z,2026-01-18T15:10:03.8890560Z
8,2026-01-18T15:10:17.2884620Z,2026-01-18T15:10:38.6719700Z
9,2026-01-18T15:10:50.9677400Z,2026-01-18T15:11:11.5811620Z
