Waypoint Number,AtWaypoint Time,LeavingWaypoint Time
0,2026-01-18T15:28:59.4284920Z,2026-01-18T15:29:20.0886410Z
1,2026-01-18T15:29:32.4817560Z,2026-01-18T15:29:52.5912990Z
2,2026-01-18T15:30:03.8161000Z,2026-01-18T15:30:32.6695670Z
3,2026-01-18T15:30:42.2082270Z,2026-01-18T15:31:02.5207650Z
4,2026-01-18T15:31:16.6011730Z,2026-01-18T15:31:37.0427370Z
5,2026-01-18T15:31:46.3605230Z,2026-01-18T15:32:07.1610150Z
6,2026-01-18T15:32:17.1335130Z,2026-01-18T15:32:38.2346940Z
7,2026-01-18T15:32:48.5374610Z,2026-01-18T15:33:09.7656970Z
8,2026-01-18T15:33:18.7686060Z,2026-01-18T15:33:39.3478560Z
9,2026-01-18T15:33:50.2210770Z,2026-01-18T15:34:10.8353680Z
