X,Y,Z,Timestamp
13.5528107,-0.8018096,10.6541815,2026-01-18T15:59:55.3688180Z
13.5527763,-0.801587641,10.6544561,2026-01-18T15:59:55.6697630Z
13.5534306,-0.8018133,10.6538353,2026-01-18T15:59:55.9692070Z
13.556119,-0.8026661,10.6509314,2026-01-18T15:59:56.2706110Z
13.55749,-0.8030283,10.6499519,2026-01-18T15:59:56.5721220Z
13.5580769,-0.803320765,10.6495848,2026-01-18T15:59:56.8714760Z
13.558135,-0.803427756,10.6496115,2026-01-18T15:59:57.1557280Z
13.5581779,-0.8034285,10.6494188,2026-01-18T15:59:57.4563810Z
13.5584126,-0.803375959,10.6493483,2026-01-18T15:59:57.7570850Z
13.5586367,-0.803232,10.6494226,2026-01-18T15:59:58.0580640Z
13.5587454,-0.803123951,10.6494284,2026-01-18T15:59:58.3600960Z
13.5587883,-0.803014,10.64933,2026-01-18T15:59:58.6606330Z
13.5590744,-0.8029888,10.6492844,2026-01-18T15:59:58.9605980Z
13.5591345,-0.8030719,10.6494083,2026-01-18T15:59:59.2615460Z
13.5590153,-0.8030633,10.6492186,2026-01-18T15:59:59.5623860Z
13.5589809,-0.803163,10.6493053,2026-01-18T15:59:59.8627800Z
13.5593433,-0.8033953,10.6497269,2026-01-18T16:00:00.1636090Z
13.5595112,-0.8035493,10.6500645,2026-01-18T16:00:00.4659390Z
13.5594616,-0.8036051,10.6502628,2026-01-18T16:00:00.7661580Z
13.5596848,-0.8036526,10.6502247,2026-01-18T16:00:01.0662870Z
13.5597315,-0.8036938,10.6502132,2026-01-18T16:00:01.3677540Z
13.5597944,-0.8036526,10.6502819,2026-01-18T16:00:01.6678840Z
13.5598621,-0.803683341,10.6502886,2026-01-18T16:00:01.9679840Z
13.5595875,-0.8037824,10.6509914,2026-01-18T16:00:02.2692490Z
13.5596323,-0.803859651,10.6512108,2026-01-18T16:00:02.5708300Z
13.5595665,-0.8039095,10.6513367,2026-01-18T16:00:02.8715250Z
13.55956,-0.8040106,10.6513939,2026-01-18T16:00:03.1725520Z
13.5595779,-0.8038929,10.6515255,2026-01-18T16:00:03.4734850Z
13.5596218,-0.8039011,10.6514835,2026-01-18T16:00:03.7563400Z
13.5598192,-0.8035645,10.6515331,2026-01-18T16:00:04.0566750Z
13.5599566,-0.803130567,10.6516762,2026-01-18T16:00:04.3580380Z
13.5599909,-0.80287236,10.6516523,2026-01-18T16:00:04.6594190Z
13.5599594,-0.8027572,10.651783,2026-01-18T16:00:04.9597360Z
13.560029,-0.8027764,10.6517992,2026-01-18T16:00:05.2602730Z
13.56007,-0.802759051,10.6517715,2026-01-18T16:00:05.5612120Z
13.5601063,-0.8027703,10.65178,2026-01-18T16:00:05.8608570Z
13.5603743,-0.802425,10.6516371,2026-01-18T16:00:06.1618660Z
13.5604973,-0.8020941,10.6516132,2026-01-18T16:00:06.4625500Z
13.56057,-0.8019965,10.6515779,2026-01-18T16:00:06.7643850Z
13.5605869,-0.8019754,10.6516314,2026-01-18T16:00:07.0650290Z
13.5605154,-0.8019666,10.6517611,2026-01-18T16:00:07.3659790Z
13.5606565,-0.801993132,10.6516418,2026-01-18T16:00:07.6665290Z
13.5606937,-0.801994741,10.6516094,2026-01-18T16:00:07.9662040Z
13.5603743,-0.8013739,10.6514034,2026-01-18T16:00:08.2676800Z
13.5600042,-0.80126375,10.651372,2026-01-18T16:00:08.5683170Z
13.5603352,-0.8011471,10.6513166,2026-01-18T16:00:08.8700870Z
13.5604248,-0.801076531,10.6512184,2026-01-18T16:00:09.1702500Z
13.5604858,-0.8011923,10.6511574,2026-01-18T16:00:09.4719140Z
13.5604067,-0.8011916,10.6510515,2026-01-18T16:00:09.7728790Z
13.5604305,-0.8011574,10.6512175,2026-01-18T16:00:10.0558470Z
13.5604153,-0.8011871,10.6513338,2026-01-18T16:00:10.3575680Z
13.5604191,-0.8011035,10.6510992,2026-01-18T16:00:10.6578810Z
13.5604467,-0.801112056,10.6511068,2026-01-18T16:00:10.9596060Z
13.560605,-0.8011598,10.6510963,2026-01-18T16:00:11.2596240Z
13.5605879,-0.8011376,10.65095,2026-01-18T16:00:11.5611340Z
13.5604115,-0.801185668,10.6511335,2026-01-18T16:00:11.8609750Z
13.5611811,-0.800848246,10.6503868,2026-01-18T16:00:12.1614020Z
13.5617819,-0.800525,10.6497173,2026-01-18T16:00:12.4638200Z
13.561902,-0.800501,10.6494761,2026-01-18T16:00:12.7631580Z
13.562211,-0.8003857,10.6492844,2026-01-18T16:00:13.0644050Z
13.5623493,-0.8003755,10.6492376,2026-01-18T16:00:13.3647450Z
13.562541,-0.8004494,10.6490345,2026-01-18T16:00:13.6661130Z
13.56226,-0.800355434,10.649209,2026-01-18T16:00:13.9654500Z
13.5612335,-0.800694,10.6512384,2026-01-18T16:00:14.2674900Z
13.5613651,-0.800917268,10.6518011,2026-01-18T16:00:14.5840730Z
13.5616407,-0.8009924,10.6517849,2026-01-18T16:00:14.8688460Z
13.5603943,-0.800897241,10.652442,2026-01-18T16:00:15.1695660Z
13.5602732,-0.800948858,10.6525631,2026-01-18T16:00:15.4694270Z
13.5602207,-0.8010836,10.6525955,2026-01-18T16:00:15.7713220Z
13.5601845,-0.8010608,10.6524849,2026-01-18T16:00:16.0707540Z
13.56017,-0.8012155,10.6524553,2026-01-18T16:00:16.3729010Z
13.560236,-0.801344931,10.6524019,2026-01-18T16:00:16.6569630Z
13.5602283,-0.8013232,10.6525059,2026-01-18T16:00:16.9576650Z
13.5603075,-0.8014221,10.6525393,2026-01-18T16:00:17.2585360Z
13.5603647,-0.8014339,10.6524582,2026-01-18T16:00:17.5591350Z
13.5601377,-0.8013841,10.652482,2026-01-18T16:00:17.8599490Z
13.559186,-0.800882041,10.6530466,2026-01-18T16:00:18.1596120Z
13.5584812,-0.8003953,10.6535006,2026-01-18T16:00:18.4617500Z
